id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6.92808E+17,Relax in Style by Washington Park - Free Parking,67337944,Rabia,K,ELEVENTH WARD,42.6623,-73.777,Entire home/apt,125,1,97,02-09-2024,4.72,1,135,54,
6.99074E+17,Luxurious 2 bedroom 2 bathroom. Private parking.,476189412,Timothy,B,SECOND WARD,42.6468502,-73.7587258,Entire home/apt,299,30,5,14-05-2023,0.21,2,100,0,
7.03552E+17,Cozy Albany Home,3650672,Zuhair,M,THIRTEENTH WARD,42.67075411,-73.79704357,Entire home/apt,168,2,3,25-08-2024,2.14,1,203,3,
7.0566E+17,Luxurious one bedroom with off-street parking,353498132,Michael,B,SECOND WARD,42.64577,-73.7583,Entire home/apt,110,13,5,17-08-2024,0.24,5,286,2,
7.12543E+17,"Downtown Historic 2 Bedroom en-suite,private lot",476189412,Timothy,B,SECOND WARD,42.6468502,-73.7587258,Entire home/apt,299,30,8,01-06-2024,0.34,2,25,2,
7.14335E+17,Private bedroom close to St. peter and Albany Med,9318285,Mesut,J,TENTH WARD,42.65893,-73.78437,Private room,60,3,3,10-08-2024,0.13,2,363,2,
7.17373E+17,Centrally located 2 bed w/ off street parking,232967878,Diana,M,THIRTEENTH WARD,42.6732,-73.79199,Entire home/apt,135,1,45,18-08-2024,1.99,25,77,18,
7.23957E+17,"Modern home, King Bed 4 bed 2bath, Crib, parking",10279606,Nori,I,NINTH WARD,42.65691,-73.78389,Entire home/apt,197,1,180,29-08-2024,8.19,2,286,102,
7.24567E+17,Cozy Greenwood Flat (1 BDR Apartment in Albany),360287870,Mela,F,SIXTH WARD,42.6513719,-73.7673156,Entire home/apt,117,2,43,01-09-2024,3.5,1,95,42,
7.33965E+17,Historic 1 bed/ 1 bath,502037254,Andrew,F,SIXTH WARD,42.65035,-73.76549,Entire home/apt,68,14,1,26-03-2023,0.06,3,35,0,
7.3588E+17,Modern & Homey 1BD/1BA Fl 1 Apt @ Downtown Albany,44434571,Earl,C,THIRD WARD,42.64564,-73.75261,Entire home/apt,92,1,58,30-08-2024,2.57,7,344,34,
7.36894E+17,Lovely private room in center square for $700/mo,77367219,Elizabeth,F,SIXTH WARD,42.65643,-73.76402,Private room,60,30,2,28-11-2022,0.09,1,338,0,
7.37574E+17,4 bed all on one floor,232967878,Diana,J,TENTH WARD,42.66069,-73.78555,Entire home/apt,185,1,43,17-08-2024,1.95,25,86,15,
7.39723E+17,Adirondack Suite #1,98744672,Bela,I,NINTH WARD,42.6543178,-73.7818222,Private room,55,2,24,17-05-2024,1.06,8,350,13,
7.436E+17,Cozy apartment 2min walk to Albanymed office space,484673863,Blossom Estates,I,NINTH WARD,42.65569,-73.77685,Entire home/apt,103,2,7,03-08-2024,0.34,2,314,3,
7.44431E+17,"1 Bedroom on Lincoln Park, near Lark and Downtown",65414985,James,G,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,94,2,20,11-08-2024,1.17,2,328,16,
7.50749E+17,Clean Escape- Centrally located- Self Check-In,255839958,Kira,G,SEVENTH WARD,42.64284,-73.77997,Entire home/apt,131,1,17,06-08-2024,0.78,1,291,6,
7.51421E+17,Modern- Cozy Center City 2 Bedroom Apartment Style,486073806,Keneisha,E,FIFTH WARD,42.66648,-73.76831,Entire home/apt,114,2,25,31-07-2024,1.33,1,360,17,
7.52119E+17,Cozy luxury brownstone w/ parking & yard,258664571,Vorakij,B,SECOND WARD,42.64439385,-73.75975702,Entire home/apt,139,2,66,01-09-2024,3.55,2,348,45,
7.52337E+17,Penthouse Brownstone w/ luxury amenities,258664571,Vorakij,B,SECOND WARD,42.6444412,-73.7597141,Entire home/apt,120,1,64,02-09-2024,3.77,2,352,50,
7.56753E+17,Private Room in the Center of the Albany,69729286,Musab,F,SIXTH WARD,42.65259,-73.76732,Private room,50,5,15,23-03-2024,0.73,2,92,6,
7.57342E+17,Elegant Studio in Center Square,188679144,Elizabeth,F,SIXTH WARD,42.65534,-73.76461,Entire home/apt,70,7,12,26-04-2024,0.55,8,341,5,
7.57978E+17,Charming location near universities & hospital,232967878,Diana,M,THIRTEENTH WARD,42.67348,-73.7934,Entire home/apt,128,2,37,31-07-2024,1.99,25,67,22,
7.61142E+17,"Great place in the heart of Albany, with Parking",37769478,Erion,F,SIXTH WARD,42.65405,-73.76953,Entire home/apt,95,1,43,11-08-2024,2.05,10,357,28,
7.64509E+17,Rest+Restore Room • Short & Extended Stay •,6203319,Melissa,J,TENTH WARD,42.66117,-73.79091,Private room,75,1,23,31-08-2024,1.07,3,89,16,
7.74701E+17,Entire cozy unit in Albany,261036923,Hasan,N,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,70,1,47,24-08-2024,2.3,1,225,22,
7.75646E+17,Casa Coquette + King Bed+ Center Square 2 min.,115597810,Massi,F,SIXTH WARD,42.6518469,-73.7642072,Entire home/apt,145,2,43,01-09-2024,2.09,1,282,22,
7.86181E+17,Center Square Gem: Junior 1 Bedroom,188679144,Elizabeth,C,THIRD WARD,42.65653,-73.76223,Entire home/apt,74,1,3,27-01-2024,0.23,8,322,2,
7.86197E+17,Mansion in Albany 7minutes to Downtown Albany,444163492,Drasana,D,FOURTH WARD,42.67996,-73.75352,Entire home/apt,,30,13,25-02-2024,0.69,1,0,7,
7.86228E+17,Glamorous 1BR Retreat in Center Square,188679144,Elizabeth,F,SIXTH WARD,42.65322,-73.76249,Entire home/apt,121,2,3,18-02-2024,0.26,8,360,3,
7.86316E+17,Elegant newly renovated cozy smart apartment,253824490,Tomar & Kash,E,FIFTH WARD,42.65915031,-73.75431933,Entire home/apt,80,2,35,31-07-2024,1.81,1,15,11,
7.87024E+17,*The Allen House* Gorgeous Apartment - Sleeps 8,349460842,Scott,N,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,226,1,78,02-09-2024,4.2,10,336,57,
7.88301E+17,Spacious 2 bed w/parking,232967878,Diana,B,SECOND WARD,42.64324,-73.75732,Entire home/apt,150,1,58,18-08-2024,2.83,25,81,26,
7.93223E+17,Cozy & Boho One Bed Apartment,462767507,Joshua,F,SIXTH WARD,42.65489,-73.77061,Entire home/apt,92,3,17,25-08-2024,0.89,3,333,9,
7.94723E+17,Updated 3/1 unit for Professionals and Families,20144241,Carla,E,FIFTH WARD,42.67283,-73.77367,Entire home/apt,86,3,8,31-07-2024,0.51,1,334,5,
